,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
f__61,-14.310863081529197,21.967337054131626,1.594505478899073,-56.28253299594812,2.540693419619043,1.9005783481044503,1.5330943734144153
f__62,-29.256672540005358,42.74503234021752,3.102668905652828,-117.43511802785216,1.9464281496686682,1.820135962574256,1.5822729826039903
f__63,-6.372500820792759,10.691484377801572,0.6546645310662407,-28.6612643949359,0.833944652286633,2.599613013301037,1.3367961576017298
f__64,-19.659582643745342,34.139084388733956,2.4284831733286087,-78.27389188240615,1.3242571332941562,2.4077973418897125,1.3924910152899501
f__65,-47.23821899932861,65.98137200551278,5.114018489183807,-170.76729215986904,2.229305322727791,1.6768545757465396,1.6796112450511562
f__66,-24.191035443184447,31.200139639344915,2.4754759451099866,-81.48245914287658,1.0838516117969517,1.5774502040474399,1.7678053806035212
f__67,-62.3777323224572,79.65297613958398,6.272149740985435,-221.85182349837146,0.8466665212717815,1.5370630176927305,1.8148197102857182
f__68,-20.936200951318412,31.449489194342576,2.0036009119813785,-87.09425053118798,1.737928184039535,2.152310694219808,1.4373807494282018
f__69,13.433107566139434,26.04776069649048,1.7244738896529885,-2.5821476064173177,58.86013879450397,3.06517989587387,1.2838773047217515
f__70,-32.29218574252631,51.21020121464657,3.5090780023921617,-134.0051416182476,2.264107564208082,1.9724197547424926,1.500195743358828
f__71,-15.668993489035357,20.325792094111257,1.4675819050883006,-60.65749304775366,1.6241725226346515,1.6600795181695711,1.6597505828676087
f__72,16.412057272341773,25.357038439511975,1.7933256991010065,-2.5207668581212492,61.4913130342998,2.0457340912809467,1.4912837728057107
f__73,-41.431583887379134,61.34672655787132,4.247367040799377,-168.2007921896233,0.7664889989891859,1.8776936262435024,1.542121767736206
f__74,16.77957854289529,25.40696561430418,1.755078602414215,-2.8526832002339586,71.84743096555302,1.7735234867907768,1.5925356728058
